zip,Zipcode name,City,State,County Name
15465,"MOUNT BRADDOCK, PA",MOUNT BRADDOCK,PA,FAYETTE
17851,"MOUNT CARMEL, PA",MOUNT CARMEL,PA,NORTHUMBERLAND
17064,"MOUNT GRETNA, PA",MOUNT GRETNA,PA,LEBANON
17065,"MOUNT HOLLY SPRINGS, PA",MOUNT HOLLY SPRINGS,PA,CUMBERLAND
16740,"MOUNT JEWETT, PA",MOUNT JEWETT,PA,MCKEAN
17552,"MOUNT JOY, PA",MOUNT JOY,PA,LANCASTER
15349,"MOUNT MORRIS, PA",MOUNT MORRIS,PA,GREENE
15666,"MOUNT PLEASANT, PA",MOUNT PLEASANT,PA,WESTMORELAND
17853,"MOUNT PLEASANT MILLS, PA",MOUNT PLEASANT MILLS,PA,SNYDER
18344,"MOUNT POCONO, PA",MOUNT POCONO,PA,MONROE
17066,"MOUNT UNION, PA",MOUNT UNION,PA,HUNTINGDON
17347,"MOUNT WOLF, PA",MOUNT WOLF,PA,YORK
18707,"MOUNTAIN TOP, PA",MOUNTAIN TOP,PA,LUZERNE
18342,"MOUNTAINHOME, PA",MOUNTAINHOME,PA,MONROE
17554,"MOUNTVILLE, PA",MOUNTVILLE,PA,LANCASTER
17957,"MUIR, PA",MUIR,PA,SCHUYLKILL
17756,"MUNCY, PA",MUNCY,PA,LYCOMING
17758,"MUNCY VALLEY, PA",MUNCY VALLEY,PA,SULLIVAN
16860,"MUNSON, PA",MUNSON,PA,CLEARFIELD
15668,"MURRYSVILLE, PA",MURRYSVILLE,PA,WESTMORELAND
15350,"MUSE, PA",MUSE,PA,WASHINGTON
17067,"MYERSTOWN, PA",MYERSTOWN,PA,LEBANON
18634,"NANTICOKE, PA",NANTICOKE,PA,LUZERNE
15943,"NANTY GLO, PA",NANTY GLO,PA,CAMBRIA
19072,"NARBERTH, PA",NARBERTH,PA,MONTGOMERY
17555,"NARVON, PA",NARVON,PA,LANCASTER
15065,"NATRONA HEIGHTS, PA",NATRONA HEIGHTS,PA,ALLEGHENY
18064,"NAZARETH, PA",NAZARETH,PA,NORTHAMPTON
17238,"NEEDMORE, PA",NEEDMORE,PA,FULTON
17239,"NEELYTON, PA",NEELYTON,PA,HUNTINGDON
18065,"NEFFS, PA",NEFFS,PA,LEHIGH
16940,"NELSON, PA",NELSON,PA,TIOGA
15351,"NEMACOLIN, PA",NEMACOLIN,PA,GREENE
18635,"NESCOPECK, PA",NESCOPECK,PA,LUZERNE
18240,"NESQUEHONING, PA",NESQUEHONING,PA,CARBON
18833,"NEW ALBANY, PA",NEW ALBANY,PA,BRADFORD
15670,"NEW ALEXANDRIA, PA",NEW ALEXANDRIA,PA,WESTMORELAND
15553,"NEW BALTIMORE, PA",NEW BALTIMORE,PA,SOMERSET
16140,"NEW BEDFORD, PA",NEW BEDFORD,PA,LAWRENCE
17855,"NEW BERLIN, PA",NEW BERLIN,PA,UNION
19545,"NEW BERLINVILLE, PA",NEW BERLINVILLE,PA,BERKS
16242,"NEW BETHLEHEM, PA",NEW BETHLEHEM,PA,CLARION
17068,"NEW BLOOMFIELD, PA",NEW BLOOMFIELD,PA,PERRY
15066,"NEW BRIGHTON, PA",NEW BRIGHTON,PA,BEAVER
17069,"NEW BUFFALO, PA",NEW BUFFALO,PA,PERRY
16101,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
16102,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
16103,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
16105,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
16107,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
16108,"NEW CASTLE, PA",NEW CASTLE,PA,LAWRENCE
17856,"NEW COLUMBIA, PA",NEW COLUMBIA,PA,UNION
17070,"NEW CUMBERLAND, PA",NEW CUMBERLAND,PA,CUMBERLAND
15671,"NEW DERRY, PA",NEW DERRY,PA,WESTMORELAND
15067,"NEW EAGLE, PA",NEW EAGLE,PA,WASHINGTON
16664,"NEW ENTERPRISE, PA",NEW ENTERPRISE,PA,BEDFORD
15944,"NEW FLORENCE, PA",NEW FLORENCE,PA,WESTMORELAND
17349,"NEW FREEDOM, PA",NEW FREEDOM,PA,YORK
15352,"NEW FREEPORT, PA",NEW FREEPORT,PA,GREENE
16141,"NEW GALILEE, PA",NEW GALILEE,PA,BEAVER
15467,"NEW GENEVA, PA",NEW GENEVA,PA,FAYETTE
17557,"NEW HOLLAND, PA",NEW HOLLAND,PA,LANCASTER
18938,"NEW HOPE, PA",NEW HOPE,PA,BUCKS
15068,"NEW KENSINGTON, PA",NEW KENSINGTON,PA,WESTMORELAND
15069,"NEW KENSINGTON, PA",NEW KENSINGTON,PA,WESTMORELAND
17072,"NEW KINGSTOWN, PA",NEW KINGSTOWN,PA,CUMBERLAND
19360,"NEW LONDON, PA",NEW LONDON,PA,CHESTER
18834,"NEW MILFORD, PA",NEW MILFORD,PA,SUSQUEHANNA
16861,"NEW MILLPORT, PA",NEW MILLPORT,PA,CLEARFIELD
17350,"NEW OXFORD, PA",NEW OXFORD,PA,ADAMS
15554,"NEW PARIS, PA",NEW PARIS,PA,BEDFORD
17352,"NEW PARK, PA",NEW PARK,PA,YORK
17959,"NEW PHILADELPHIA, PA",NEW PHILADELPHIA,PA,SCHUYLKILL
17560,"NEW PROVIDENCE, PA",NEW PROVIDENCE,PA,LANCASTER
17960,"NEW RINGGOLD, PA",NEW RINGGOLD,PA,SCHUYLKILL
15468,"NEW SALEM, PA",NEW SALEM,PA,FAYETTE
15672,"NEW STANTON, PA",NEW STANTON,PA,WESTMORELAND
18066,"NEW TRIPOLI, PA",NEW TRIPOLI,PA,LEHIGH
16142,"NEW WILMINGTON, PA",NEW WILMINGTON,PA,LAWRENCE
16172,"NEW WILMINGTON, PA",NEW WILMINGTON,PA,LAWRENCE
17240,"NEWBURG, PA",NEWBURG,PA,CUMBERLAND
15466,"NEWELL, PA",NEWELL,PA,FAYETTE
18445,"NEWFOUNDLAND, PA",NEWFOUNDLAND,PA,WAYNE
17073,"NEWMANSTOWN, PA",NEWMANSTOWN,PA,LEBANON
17074,"NEWPORT, PA",NEWPORT,PA,PERRY
16665,"NEWRY, PA",NEWRY,PA,BLAIR
17075,"NEWTON HAMILTON, PA",NEWTON HAMILTON,PA,MIFFLIN
18940,"NEWTOWN, PA",NEWTOWN,PA,BUCKS
19073,"NEWTOWN SQUARE, PA",NEWTOWN SQUARE,PA,DELAWARE
17241,"NEWVILLE, PA",NEWVILLE,PA,CUMBERLAND
18446,"NICHOLSON, PA",NICHOLSON,PA,WYOMING
15762,"NICKTOWN, PA",NICKTOWN,PA,CAMBRIA
15469,"NORMALVILLE, PA",NORMALVILLE,PA,FAYETTE
19401,"NORRISTOWN, PA",NORRISTOWN,PA,MONTGOMERY
19403,"NORRISTOWN, PA",NORRISTOWN,PA,MONTGOMERY
19404,"NORRISTOWN, PA",NORRISTOWN,PA,MONTGOMERY
15673,"NORTH APOLLO, PA",NORTH APOLLO,PA,ARMSTRONG
17760,"NORTH BEND, PA",NORTH BEND,PA,CLINTON
16428,"NORTH EAST, PA",NORTH EAST,PA,ERIE
16430,"NORTH SPRINGFIELD, PA",NORTH SPRINGFIELD,PA,ERIE
15137,"NORTH VERSAILLES, PA",NORTH VERSAILLES,PA,ALLEGHENY
19454,"NORTH WALES, PA",NORTH WALES,PA,MONTGOMERY
16048,"NORTH WASHINGTON, PA",NORTH WASHINGTON,PA,BUTLER
18067,"NORTHAMPTON, PA",NORTHAMPTON,PA,NORTHAMPTON
15714,"NORTHERN CAMBRIA, PA",NORTHERN CAMBRIA,PA,CAMBRIA
15763,"NORTHPOINT, PA",NORTHPOINT,PA,INDIANA
17857,"NORTHUMBERLAND, PA",NORTHUMBERLAND,PA,NORTHUMBERLAND
15674,"NORVELT, PA",NORVELT,PA,WESTMORELAND
19074,"NORWOOD, PA",NORWOOD,PA,DELAWARE
19362,"NOTTINGHAM, PA",NOTTINGHAM,PA,CHESTER
18636,"NOXEN, PA",NOXEN,PA,WYOMING
16244,"NU MINE, PA",NU MINE,PA,ARMSTRONG
17858,"NUMIDIA, PA",NUMIDIA,PA,COLUMBIA
18241,"NUREMBERG, PA",NUREMBERG,PA,SCHUYLKILL
16245,"OAK RIDGE, PA",OAK RIDGE,PA,ARMSTRONG
15071,"OAKDALE, PA",OAKDALE,PA,ALLEGHENY
17076,"OAKLAND MILLS, PA",OAKLAND MILLS,PA,JUNIATA
15139,"OAKMONT, PA",OAKMONT,PA,ALLEGHENY
19456,"OAKS, PA",OAKS,PA,MONTGOMERY
15470,"OHIOPYLE, PA",OHIOPYLE,PA,FAYETTE
16301,"OIL CITY, PA",OIL CITY,PA,VENANGO
16863,"OLANTA, PA",OLANTA,PA,CLEARFIELD
18518,"OLD FORGE, PA",OLD FORGE,PA,LACKAWANNA
18068,"OLD ZIONSVILLE, PA",OLD ZIONSVILLE,PA,LEHIGH
19547,"OLEY, PA",OLEY,PA,BERKS
15764,"OLIVEBURG, PA",OLIVEBURG,PA,JEFFERSON
15472,"OLIVER, PA",OLIVER,PA,FAYETTE
18447,"OLYPHANT, PA",OLYPHANT,PA,LACKAWANNA
18448,"OLYPHANT, PA",OLYPHANT,PA,LACKAWANNA
17077,"ONO, PA",ONO,PA,LEBANON
17859,"ORANGEVILLE, PA",ORANGEVILLE,PA,COLUMBIA
17243,"ORBISONIA, PA",ORBISONIA,PA,HUNTINGDON
18069,"OREFIELD, PA",OREFIELD,PA,LEHIGH
19075,"ORELAND, PA",ORELAND,PA,MONTGOMERY
17244,"ORRSTOWN, PA",ORRSTOWN,PA,FRANKLIN
17353,"ORRTANNA, PA",ORRTANNA,PA,ADAMS
18449,"ORSON, PA",ORSON,PA,WAYNE
17961,"ORWIGSBURG, PA",ORWIGSBURG,PA,SCHUYLKILL
16942,"OSCEOLA, PA",OSCEOLA,PA,TIOGA
16666,"OSCEOLA MILLS, PA",OSCEOLA MILLS,PA,CLEARFIELD
16667,"OSTERBURG, PA",OSTERBURG,PA,BEDFORD
18942,"OTTSVILLE, PA",OTTSVILLE,PA,BUCKS
19363,"OXFORD, PA",OXFORD,PA,CHESTER
18070,"PALM, PA",PALM,PA,MONTGOMERY
18071,"PALMERTON, PA",PALMERTON,PA,CARBON
17078,"PALMYRA, PA",PALMYRA,PA,LEBANON
19301,"PAOLI, PA",PAOLI,PA,CHESTER
17562,"PARADISE, PA",PARADISE,PA,LANCASTER
16049,"PARKER, PA",PARKER,PA,ARMSTRONG
19457,"PARKER FORD, PA",PARKER FORD,PA,CHESTER
19365,"PARKESBURG, PA",PARKESBURG,PA,CHESTER
15945,"PARKHILL, PA",PARKHILL,PA,CAMBRIA
18244,"PARRYVILLE, PA",PARRYVILLE,PA,CARBON
16668,"PATTON, PA",PATTON,PA,CAMBRIA
18451,"PAUPACK, PA",PAUPACK,PA,PIKE
17860,"PAXINOS, PA",PAXINOS,PA,NORTHUMBERLAND
17861,"PAXTONVILLE, PA",PAXTONVILLE,PA,SNYDER
17563,"PEACH BOTTOM, PA",PEACH BOTTOM,PA,LANCASTER
17375,"PEACH GLEN, PA",PEACH GLEN,PA,ADAMS
18452,"PECKVILLE, PA",PECKVILLE,PA,LACKAWANNA
18072,"PEN ARGYL, PA",PEN ARGYL,PA,NORTHAMPTON
15849,"PENFIELD, PA",PENFIELD,PA,CLEARFIELD
15675,"PENN, PA",PENN,PA,WESTMORELAND
15765,"PENN RUN, PA",PENN RUN,PA,INDIANA
17862,"PENNS CREEK, PA",PENNS CREEK,PA,SNYDER
18943,"PENNS PARK, PA",PENNS PARK,PA,BUCKS
18073,"PENNSBURG, PA",PENNSBURG,PA,MONTGOMERY
16865,"PENNSYLVANIA FURNACE, PA",PENNSYLVANIA FURNACE,PA,CENTRE
17564,"PENRYN, PA",PENRYN,PA,LANCASTER
17565,"PEQUEA, PA",PEQUEA,PA,LANCASTER
18944,"PERKASIE, PA",PERKASIE,PA,BUCKS
18074,"PERKIOMENVILLE, PA",PERKIOMENVILLE,PA,MONTGOMERY
15473,"PERRYOPOLIS, PA",PERRYOPOLIS,PA,FAYETTE
16669,"PETERSBURG, PA",PETERSBURG,PA,HUNTINGDON
16050,"PETROLIA, PA",PETROLIA,PA,BUTLER
19113,"PHILADELPHIA, PA",PHILADELPHIA,PA,DELAWARE
19019,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19101,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19102,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19103,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19104,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19105,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19106,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19107,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19108,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19109,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19110,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19111,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19112,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19114,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19115,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19116,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19118,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19119,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19120,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19121,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19122,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19123,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19124,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19125,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19126,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19127,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19128,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19129,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19130,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19131,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19132,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19133,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19134,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19135,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19136,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19137,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19138,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19139,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19140,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19141,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19142,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19143,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19144,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19145,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19146,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19147,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19148,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19149,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19150,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19151,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19152,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19153,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19154,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19155,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19160,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19170,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19176,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19181,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19187,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19192,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19194,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
19255,"PHILADELPHIA, PA",PHILADELPHIA,PA,PHILADELPHIA
16866,"PHILIPSBURG, PA",PHILIPSBURG,PA,CENTRE
19460,"PHOENIXVILLE, PA",PHOENIXVILLE,PA,CHESTER
17762,"PICTURE ROCKS, PA",PICTURE ROCKS,PA,LYCOMING
17080,"PILLOW, PA",PILLOW,PA,DAUPHIN
19548,"PINE FORGE, PA",PINE FORGE,PA,BERKS
17963,"PINE GROVE, PA",PINE GROVE,PA,SCHUYLKILL
16868,"PINE GROVE MILLS, PA",PINE GROVE MILLS,PA,CENTRE
18946,"PINEVILLE, PA",PINEVILLE,PA,BUCKS
18947,"PIPERSVILLE, PA",PIPERSVILLE,PA,BUCKS
15140,"PITCAIRN, PA",PITCAIRN,PA,ALLEGHENY
17964,"PITMAN, PA",PITMAN,PA,SCHUYLKILL
15201,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15202,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15203,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15204,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15205,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15206,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15207,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15208,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15209,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15210,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15211,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15212,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15213,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15214,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15215,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15216,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15217,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15218,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15219,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15220,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15221,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15222,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15223,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15224,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15225,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15226,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15227,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15228,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15229,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15230,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15231,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15232,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15233,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15234,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15235,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
15236,"PITTSBURGH, PA",PITTSBURGH,PA,ALLEGHENY
